,Unnamed: 0,Away Team,Away Pitcher,Away pHand,Home Team,Home Pitcher,Home pHand,Westgate Home Line,Westgate Away Line,Home Symbol,Away Symbol,xFIP_x,xFIP_y,Team xFIP_x,Team xFIP_y,BsR_Sc_Season_x,BsR_Al_Season_x,BsR_Sc_Season_y,BsR_Al_Season_y,xFIP_adj_Home,xFIP_adj_Away,Exp_Win_%_Home,Exp_Win_%_Away,Exp_Win_%_Home_PitchAdj,Exp_Win_%_Away_PitchAdj,Exp_Win_%_Home_Driver_x,Exp_Win_%_Home_Driver_y,Exp_Win_%_Home_Driver,Exp_Win_%_Away_Driver,Model_Win_%_Home,Model_Win_%_Away,Implied Win % Home,Implied Win % Away,EDGE % Home,EDGE % Away
0,0,St. Louis,J. Flaherty,R,Chi Cubs,K. Hendricks,R,-100,-110,CHC,STL,3.69,3.06,3.57,4.51,130.3220472440945,98.7072519204287,137.6531143861899,124.57615185812314,1.0201680672268907,0.8070953436807096,0.6244467926283963,0.545540932319433,0.6197526728822841,0.5979626889809839,0.5496628421347151,0.451768690033391,0.5496628421347151,0.451768690033391,0.5489470760506621,0.45105292394933794,0.5,0.5238095238095238,0.048947076050662064,-0.0727565998601859
1,1,Minnesota,K. Gibson,R,NY Yankees,J. Paxton,L,-150,140,NYY,MIN,2.7,3.9,4.15,4.75,134.54223352231367,109.00584236646316,138.41490304262902,121.37616314654983,0.7903614457831325,0.8926315789473684,0.5951199934676985,0.5598100057497103,0.6503179817491022,0.5875805334412721,0.5673675278469965,0.4366869207229289,0.5673675278469965,0.4366869207229289,0.5653403035620338,0.4346596964379662,0.6,0.4166666666666667,-0.03465969643796618,0.017993029771299518
2,2,Oakland,B. Anderson,L,Pittsburgh,J. Musgrove,R,-120,110,PIT,OAK,3.91,5.29,4.28,4.84,94.00859487459677,97.32270206527681,112.17986952469711,137.66220756840124,0.9481308411214953,1.0557851239669422,0.4841547308864398,0.4074300135490298,0.49746513703658307,0.3943927345631535,0.6024080350782974,0.4068375997481171,0.6024080350782974,0.4068375997481171,0.5977852176650902,0.4022147823349098,0.5454545454545454,0.47619047619047616,0.05233067221054477,-0.07397569385556635
3,3,Tampa Bay,T. Glasnow,R,Baltimore,D. Straily,R,210,-230,BAL,TBR,,3.18,5.25,3.29,118.85530381050464,184.95040755775966,134.8747100222194,92.73640256225237,,0.9799392097264438,0.308062904297547,0.6649631033266958,,0.6694626319145182,,,,,,,0.3225806451612903,0.696969696969697,,
4,4,Washington,J. Hellickson,R,Philadelphia,J. Eickhoff,R,-165,155,PHI,,,,4.47,,126.20334511327239,142.423566447096,,,,,0.4449077957614105,,,,,,,,,,0.6226415094339622,0.39215686274509803,,
5,5,Kansas City,J. Lopez,R,Detroit,M. Boyd,L,-145,135,DET,KCR,3.56,4.34,4.27,4.74,100.85587188612101,108.83498528070085,130.57892396620719,142.0559909203913,0.9002341920374708,0.9493670886075949,0.46522203791761535,0.4615347719574602,0.4914417089537114,0.4744707726040297,0.5494877184049313,0.4519178695069105,0.5494877184049313,0.4519178695069105,0.5487849244490104,0.4512150755509896,0.5918367346938775,0.425531914893617,-0.04305181024486715,0.025683160657372583
6,6,Seattle,Y. Kikuchi,L,Cleveland,S. Bieber,R,-140,130,CLE,SEA,4.26,4.24,3.75,4.37,97.89332128173191,99.30024293403939,133.35288449957847,150.46486068255757,1.0816000000000001,0.9821510297482837,0.4934719877370583,0.44498929757488387,0.4738850460241142,0.44944163246236624,0.5542955290157764,0.44782232713470904,0.5542955290157764,0.44782232713470904,0.5532366009405336,0.4467633990594663,0.5833333333333334,0.43478260869565216,-0.030096732392799752,0.011980790363814164
7,7,Atlanta,K. Gausman,R,Miami,J. Urena,R,150,-160,MIA,ATL,4.04,3.83,4.53,4.25,71.07887866365814,118.87911433030406,147.70670826833071,133.92655316873163,0.9350993377483443,0.9407058823529413,0.2806580254150581,0.5446866554442524,0.2944024296929364,0.5597997961505264,0.3722240641019334,0.6029202416909457,0.3722240641019334,0.6029202416909457,0.38465191120549386,0.6153480887945062,0.4,0.6153846153846154,-0.015348088794506165,-3.6526590109220436e-05
8,8,San Francisco,T. Beede,R,Cincinnati,S. Gray,R,-150,140,CIN,SFG,2.2,,3.74,4.09,97.17438490441047,91.61437405416689,83.9275523851984,102.40018738587307,0.7529411764705882,,0.526929342841335,0.4099794585343094,0.5966653719182917,,,,,,,,0.6,0.4166666666666667,,
9,9,Toronto,T. Thornton,R,Texas,M. Minor,L,-145,135,TEX,TOR,4.19,4.26,5.39,4.45,133.77825539732646,132.97626253054221,103.88266199649738,105.88359676077621,0.8664192949907236,0.9743820224719102,0.5027509122823338,0.4912725483373077,0.538521032173788,0.4977596348373378,0.5612405338267753,0.4419062119253396,0.5612405338267753,0.4419062119253396,0.5596671609507178,0.4403328390492821,0.5918367346938775,0.425531914893617,-0.03216957374315976,0.014800924155665085
10,10,Boston,C. Sale,L,Chi White Sox,R. Lopez,R,165,-180,CHW,BOS,4.68,3.17,4.66,4.05,129.27624836732645,147.18214856601344,114.48436278342453,118.56771279495368,1.0025751072961373,0.8696296296296296,0.44093052863394566,0.48397196253602315,0.44029664945354846,0.5188794567616082,0.49575920243280797,0.49768660533501546,0.49575920243280797,0.49768660533501546,0.4990362985488962,0.5009637014511038,0.37735849056603776,0.6428571428571429,0.12167780798285843,-0.1418934414060391
11,11,NY Mets,S. Matz,L,Milwaukee,B. Woodruff,R,-130,120,MIL,NYM,3.59,3.93,4.81,4.4,131.31615629133842,156.7938823330042,126.28326403326403,135.10780744507417,0.8478170478170478,0.9359090909090909,0.419578625547837,0.4691372095478476,0.46023093357136063,0.485661089345889,0.5254821863536885,0.4723670264394506,0.5254821863536885,0.4723670264394506,0.5265575799571189,0.47344242004288106,0.5652173913043478,0.45454545454545453,-0.038659811347228845,0.018896965497426532
12,12,Arizona,R. Ray,L,Colorado,T. Anderson,L,100,-110,COL,ARI,,4.32,4.16,3.89,129.88669950738915,130.34464606504343,124.20935941087973,98.42370929581446,,1.066323907455013,0.4983898170170699,0.6048743287373858,,0.58942762428689,,,,,,,0.5,0.5238095238095238,,
13,13,LA Dodgers,C. Kershaw,L,San Diego,E. Lauer,L,145,-155,SDP,LAD,3.63,2.82,4.29,3.85,102.92061915404352,101.76719081011841,128.4219297457551,103.90750299058945,0.9076923076923077,0.8394805194805195,0.5051559528444373,0.5957122110464006,0.5293348642144449,0.6370545447403201,0.4901293247028888,0.5024824271049467,0.4901293247028888,0.5024824271049467,0.493823448798971,0.506176551201029,0.40816326530612246,0.6078431372549019,0.08566018349284854,-0.10166658605387291
