,Unnamed: 0,Away Team,Away Pitcher,Away pHand,Home Team,Home Pitcher,Home pHand,Westgate Home Line,Westgate Away Line,Home Symbol,Away Symbol,xFIP_x,xFIP_y,Team xFIP_x,Team xFIP_y,BsR_Sc_Season_x,BsR_Al_Season_x,BsR_Sc_Season_y,BsR_Al_Season_y,Exp_Win_%_Home,Exp_Win_%_Away,vs_L_Adj_x,vs_R_Adj_x,vs_L_Adj_y,vs_R_Adj_y,BsR_Sc_Season_Home_Split,BsR_Sc_Season_Away_Split,xFIP_adj_Home,xFIP_adj_Away,BsR_Al_Season_Home,Exp_Win_%_Home_Final,BsR_Al_Season_Away,Exp_Win_%_Away_Final,Exp_Win_%_Home_Driver,Exp_Win_%_Away_Driver,Model_Win_%_Home,Model_Win_%_Away,Implied Win % Home,Implied Win % Away,EDGE % Home,EDGE % Away
0,0,Kansas City,B. Keller,R,Detroit,S. Turnbull,R,-125.0,115.0,DET,KCR,4.97,5.53,4.44,4.68,101.2109159920807,120.15063459233531,139.61367343646373,141.0351547351276,0.422158806336437,0.4953656344409394,0.8969072164948454,1.0206185567010309,0.7378640776699029,1.116504854368932,103.29773900222669,155.87934412809057,1.0716216216216214,1.108974358974359,128.75601788070526,0.4005543286653521,156.40437031523768,0.49846166202130077,0.4811913018679111,0.5100962984088165,0.4855475017295473,0.5144524982704528,0.5555555555555556,0.46511627906976744,-0.07000805382600828,0.04933621920068537
1,1,Tampa Bay,R. Stanek,R,Baltimore,J. Means,L,,,BAL,TBR,,,5.45,3.57,114.19010841408421,176.95114113819074,140.3125178296343,94.47530481807442,0.3096926817173636,0.6734491306723273,0.9529411764705882,1.0235294117647058,0.847457627118644,1.0508474576271187,108.81645625342142,147.44705263453096,,,,,,,,,,,,,,
2,2,Seattle,E. Swanson,R,Cleveland,C. Anderson,R,-140.0,130.0,CLE,SEA,,,3.66,4.22,100.15078458089755,100.7294236459192,142.67721813611394,156.97674521289906,0.4973643431100216,0.4564137990520506,0.7468354430379747,1.1139240506329113,0.8828828828828829,1.0360360360360361,111.56036763441752,147.81873951038833,,,,,,,,,,,0.5833333333333334,0.43478260869565216,,
3,3,Atlanta,J. Teheran,R,Miami,P. Lopez,R,105.0,-115.0,MIA,ATL,3.95,4.45,4.65,4.28,70.46153846153845,127.57369384701435,146.24145943053483,124.84644612223522,0.25230853258090213,0.5718637802624736,0.5161290322580645,1.096774193548387,1.1666666666666667,0.9537037037037037,77.2803970223325,139.471021493936,0.9096774193548387,1.0238317757009348,116.05090859631628,0.32211758336342866,127.82175862327917,0.5398186801571633,0.4036110380268179,0.576183189829007,0.4137139240989055,0.5862860759010946,0.4878048780487805,0.5348837209302325,-0.07409095394987497,0.051402354970862096
4,4,Oakland,F. Montas,R,Pittsburgh,J. Lyles,R,105.0,-115.0,PIT,OAK,3.91,3.94,4.3,4.74,93.89994608822505,104.30802164515774,116.75741863682222,137.58552713366447,0.4520560621499813,0.4254622542128835,0.7631578947368421,1.118421052631579,1.24,0.94,105.01967654604118,109.75197351861289,0.9455813953488372,0.8987341772151898,98.63172465330497,0.5286787937932179,123.65281552519211,0.4456564749837343,0.5860129624717345,0.4208037727092633,0.5826045948812356,0.4173954051187644,0.4878048780487805,0.5348837209302325,0.09479971683245514,-0.11748831581146812
5,5,Washington,A. Sanchez,R,Philadelphia,Z. Eflin,R,-160.0,150.0,PHI,,5.0,5.48,4.41,,130.68263326886606,143.76017971166428,,,0.4564764804587021,,0.9795918367346939,1.010204081632653,,,132.0161295267116,,1.0802721088435374,,155.3001125048455,0.42622824631100065,,,,,,,0.6153846153846154,0.4,,
6,5,Washington,A. Sanchez,R,Philadelphia,Z. Eflin,R,-160.0,150.0,PHI,,5.0,5.31,4.41,,130.68263326886606,143.76017971166428,,,0.4564764804587021,,0.9795918367346939,1.010204081632653,,,132.0161295267116,,1.0802721088435374,,155.3001125048455,0.42622824631100065,,,,,,,0.6153846153846154,0.4,,
7,6,Boston,R. Porcello,R,Chi White Sox,D. Covey,R,,,CHW,BOS,,4.69,4.86,3.63,126.5673186666142,168.58592862556372,125.06610591645911,113.01947926245938,0.37177527065919486,0.5462044357217835,0.9230769230769231,1.0384615384615385,0.8316831683168316,1.0396039603960396,131.43529246148398,130.01921902206146,,1.175206611570248,,,132.8212392654688,0.490246477187584,,,,,,,,
8,7,NY Mets,J. Vargas,L,Milwaukee,Z. Davies,R,-145.0,135.0,MIL,NYM,5.04,,4.8,4.35,139.33528870485395,161.37667698658413,125.05834237298075,139.82701115704418,0.43321393102514494,0.44910810831008946,1.0891089108910892,0.9603960396039604,1.3762376237623761,0.9108910891089109,133.81705944921617,172.1099959390527,1.03,,166.21797729618166,0.4020832630086483,,,,,,,0.5918367346938775,0.425531914893617,,
9,8,Toronto,C. Buchholz,R,Texas,D. Smyly,L,-130.0,120.0,TEX,TOR,,5.13,5.11,4.76,126.60195395627781,132.98328444333296,103.03329992901581,106.0775706058159,0.47751738142725214,0.486681488620862,0.67,1.09,0.9404761904761905,1.0357142857142858,84.82330915070614,106.71306064076639,,1.046638655462185,,,111.02488587356613,0.4818859820959916,,,,,0.5652173913043478,0.45454545454545453,,
10,9,Arizona,Z. Greinke,R,Colorado,G. Marquez,R,-135.0,125.0,COL,ARI,3.12,3.3,4.32,3.86,136.73610775279187,145.9550472392694,138.66921430181026,102.24859932824386,0.47018544433163734,0.6358906020438401,1.0,1.0240963855421688,1.3018867924528301,0.8773584905660378,140.03095372273867,121.66261254781466,0.8333333333333333,0.9129533678756477,121.62920603272448,0.5641008319677766,93.34820311728792,0.618879426001128,0.5149949835774966,0.48130056954509554,0.5168472070162005,0.48315279298379943,0.574468085106383,0.4444444444444444,-0.05762087809018257,0.03870834853935501
11,10,Houston,J. Verlander,R,LA Angels,M. Harvey,R,200.0,-220.0,LAA,HOU,4.4,3.43,4.78,4.17,131.556374902706,139.1651087096277,157.4328249818446,95.07880498793223,0.47429946071444307,0.7156236365253605,0.7699115044247787,1.1061946902654867,1.0827067669172932,0.9849624060150376,145.5269633879491,155.06541407986197,0.9523012552301255,0.8935251798561151,132.52710770841534,0.5427058787367205,84.95530632734665,0.7504756671318148,0.453240576242528,0.533906175793402,0.459667200224563,0.540332799775437,0.3333333333333333,0.6875,0.12633386689122966,-0.14716720022456298
12,11,Minnesota,M. Pineda,R,NY Yankees,D. German,R,-135.0,125.0,NYY,MIN,3.87,5.17,4.3,4.67,132.306692509406,112.49685592082203,140.3568086102012,125.78511315432384,0.5736652515888908,0.5499803863155741,0.9454545454545454,1.009090909090909,1.0260869565217392,0.991304347826087,133.50948062312787,139.13631462228642,0.94,1.0642398286937902,105.74704456557271,0.6050649284683742,133.86552727558663,0.5176605521780447,0.5820390950507358,0.4241889190308546,0.5789250880099406,0.4210749119900594,0.574468085106383,0.4444444444444444,0.00445700290355755,-0.023369532454385
13,12,LA Dodgers,K. Maeda,R,San Diego,N. Margevicius,L,125.0,-135.0,SDP,LAD,4.55,4.94,4.28,3.92,109.26884441983707,111.49175096918272,135.0517604286261,110.7159104937158,0.49078731404140596,0.5899125134022059,1.069767441860465,0.9883720930232558,0.9809523809523809,1.019047619047619,116.89225217005824,137.62417491298086,1.0378504672897195,1.1561224489795918,115.71176584231533,0.504643613712151,128.001149581,0.5331144208814868,0.5251851439748558,0.4726200625399375,0.5262825407174592,0.47371745928254083,0.4444444444444444,0.574468085106383,0.08183809627301475,-0.1007506258238422
14,13,San Francisco,J. Samardzija,R,Cincinnati,L. Castillo,R,-180.0,165.0,CIN,SFG,3.31,4.43,3.78,4.23,113.65271379931906,99.82580162768372,91.69365490849613,117.72311456431008,0.559070100508214,0.38763023192754703,0.9764705882352941,1.0,1.0,1.0142857142857142,113.65271379931906,93.00356426433179,0.9253968253968254,1.028368794326241,92.37847991895175,0.5936979120277395,121.06277738882949,0.38165755021088144,0.6573949393980946,0.35999690347569735,0.6486990179611987,0.3513009820388014,0.6428571428571429,0.37735849056603776,0.00584187510405576,-0.026057508527236373
15,14,St. Louis,A. Wainwright,R,Chi Cubs,J. Quintana,L,,,CHC,STL,3.16,4.35,3.52,4.31,128.51370167617878,90.61578322456332,139.50476375656234,128.95184668011763,0.6546212156227499,0.5359247999134328,1.0373831775700935,0.9906542056074766,0.8636363636363636,1.0363636363636364,133.3179522061294,144.57766425680097,0.9386363636363637,1.005568445475638,85.05526925396512,0.694759804434151,129.66990800733868,0.5496234377601238,0.6029819137276191,0.40634874015795414,0.5983165867848325,0.40168341321516754,,,,
